회사,근무지,고용형태,모집명,주요업무,자격요건,우대사항,자격요건 키워드,우대사항 키워드,직군,URL
심플사파리(아모트래블),"서울 강남구 선릉로 529, 5층",경력 2년,백엔드 엔지니어,"['아모트래블의 핵심 서비스가 안정적으로 운영될 수 있도록 백엔드 시스템을 개발하고 지속적으로 개선합니다', '프론트엔드 팀과 협업하여 효율적이고 확장 가능한 RESTful API를 설계하고 개발합니다', '고객에게 더 나은 여행 경험을 제공하기 위한 새로운 기능을 기획부터 출시까지 함께 만들어갑니다', '코드 리뷰, 아키텍처 설계, DevOps 프로세스 개선을 통해 서비스의 품질과 배포 안정성을 높입니다', 'Typescript 기반의 Nest.js 로 서버를 개발, AWS 환경에서 운영하고 기존 Python Django Rest Framework 웹 서버 코드를 유지보수 및 점진적 마이그레이션을 수행합니다']","['웹 백엔드 개발 경험 2년 이상 또는 그에 준하는 실력을 보유하신 분', 'Typescript Nest.js, Python Django 등의 웹 프레임워크 경험이 있으신 분', 'RDBMS에 대한 설계 및 운영 경험이 있고, 복잡한 비즈니스 프로세스를 이해하고 이를 데이터베이스로 설계할 수 있는 분', '기획, 디자인, 프론트엔드 등 다양한 직군과 원활한 소통이 가능하며, 소규모 팀에서의 긴밀한 협업을 선호하시는 분', '자료구조, 알고리즘, 운영체제, 네트워크 등 컴퓨터 과학 기초 지식을 갖추신 분']","['Typescript 기반의 Nest.js 서버 개발을 1년 이상 실무에서 사용한 경험이 있으신 분', 'Django Rest Framework (DRF)을 실무에서 사용한 경험이 있으신 분', 'AI를 적극적으로 활용하여 개발하시는 분', 'LLM을 활용한 개발 경험이 있으신 분 (특히 RAG 및 Agentic Programming)', 'Next.js, React.js, Vue.js 등의 프론트엔드 개발 경험을 가지신 분', '항공사 API 연동 경험(REST 또는 SOAP Client 개발)이 있으신 분', '제품 기획부터 개발, 출시, 운영까지 전체 개발 사이클을 경험해보신 분', '레거시 코드를 점진적으로 리팩토링하고 개선한 경험이 있으신 분', '설계부터 배포, 운영까지 개발 프로세스 구축 및 개선 경험을 보유하신 분']","['Django', 'Typescript']","['VueJS', 'NextJS', 'ReactJS']",백엔드,https://www.wanted.co.kr/wd/311737
빔웍스,"대구 북구 칠곡중앙대로136길 107, 지하 1층(학정동)",신입 이상,인공지능 개발 (자연어처리),"['자연어처리, 챗봇, 정보 검색 관련 기술 연구 및 개발', '인공지능 모델 패키징 및 배포 기술 연구']","['신입 / 경력(연수무관)', '전산학, 전자, 산업 공학 등 관련 학사 학위 이상 소지한 분', 'Python, Tensorflow, Keras, Scikit-learn 등을 활용한 딥러닝 머신러닝 개발 역량', 'GIT/JIRA/Confluence 협업 체계에 대한 이해를 가진 분']","['자연어처리, 머신러닝, 챗봇 관련 연구 및 개발 경험', '인공지능/자연어처리/컴퓨터 분야 학회 논문 출판']","['Scikit-learn', 'Confluence', 'Tensorflow', 'Git', 'Jira', 'Keras']","['NLP', 'Machine learning']",AI,https://www.wanted.co.kr/wd/311740
빔웍스,"대구 북구 칠곡중앙대로136길 107, 지하 1층(학정동)",신입 이상,소프트웨어 개발 (프론트엔드),"['의료 영상 인공지능 플랫폼 CadAI-Series 프론트엔드 개발', '의료 정보 커뮤니케이션 플랫폼 ChatAI-Series 프론트엔드 개발', '서비스 패키징 및 배포']","['신입 / 경력(연수무관)', '전산학, 전자, 산업 공학 등 관련 학사 학위 이상 소지한 분', 'GIT/JIRA/Confluence 협업 체계에 대한 이해를 가진 분']","['Vue, React, Node.js 개발 경험', 'websocket을 활용한 대용량 트래픽 처리 경험']","['Git', 'Jira', 'Confluence']","['VueJS', 'NodeJS', 'ReactJS']",프론트엔드,https://www.wanted.co.kr/wd/311746
빔웍스,"대구 북구 칠곡중앙대로136길 107, 지하 1층(학정동)",신입 이상,소프트웨어 개발 (백엔드),"['의료 영상 인공지능 플랫폼 CadAI-Series 프론트엔드 개발', '의료 정보 커뮤니케이션 플랫폼 ChatAI-Series 프론트엔드 개발', '데이터 파이프라인, 웨어하우스 구축 및 운영', '서비스 구축 및 배포']","['신입 / 경력(연수무관)', '전산학, 전자, 산업 공학 등 관련 학사 학위 이상 소지한 분', 'GIT/JIRA/Confluence 협업 체계에 대한 이해를 가진 분']","['Spring Boot/JPA/AWS 개발 경험', '협업 부서와 논리적인 커뮤니케이션 진행']","['Git', 'Jira', 'Confluence']",['SpringBoot'],백엔드,https://www.wanted.co.kr/wd/311747
빔웍스,"대구 북구 칠곡중앙대로136길 107, 지하 1층(학정동)",신입 이상,소프트웨어 개발 (AI Application 개발),"['의료 영상 인공지능 플랫폼 CadAI-Series Application 개발', 'Application 패키징 및 배포']","['신입 / 경력(연수무관)', '전산학, 전자, 산업 공학 등 관련 학사 학위 이상 소지한 분', 'C/C++, JAVA, Python 프로그래밍 언어 가능자', 'GIT/JIRA/Confluence 협업 체계에 대한 이해를 가진 분']","['QT, Windows/MacOS/Linux Application 개발 및 상용 제품 배포 기술 경험자', 'PACS, EMR 등 의료 정보 시스템 관련 개발 경력자']","['C++', 'Confluence', 'Java', 'Git', 'Jira', 'C']",[],AI,https://www.wanted.co.kr/wd/311748
코드비전,"서울 서대문구 연세로 50, 연세대학교 공학원 242호",신입,석박사 인공지능 개발자,"['연구개발 R&D 참여 (연구소 소속), 인공지능(AI) 기반 프로젝트 참여(개발 소속)', '구축 된 데이터기반의 인공지능 모델을 학습 평가 할 수 있는 분', 'CNN, LLM 등 이미지 기반 모델과 언어모델 기반을 다룰 수 있는 분', 'Python 기반의 PyTorch, OpenCV 등 개발 라이브러리를 쉽게 사용할 수 있는 분', '과제 보고서(글쓰기), 논문, 발표가 가능한 분', '다양한 업무 경험을 통해 성장하실 수 있도록, 배정 업무는 상황과 역량에 따라 유연하게 조정됩니다.']","['관련 분야 석사 학위 이상', '관련 분야: 컴퓨터 관련 학과 및 관련이 깊은 전공자', '남성의 경우, 병역필 또는 면제자인 분', '해외여행에 결격 사유가 없는 분']","['딥러닝 프레임워크(Tensorflow, PyTorch 등) 활용 가능하신 분', '오픈소스를 찾고 이해하며 스스로 적용할 수 있는 분', '논문을 읽고 이해하며 구현할 수 있는 능력을 보유하신 분', '객체인식, 객체탐지, GAN, LLM 모델 학습·개발 경험이 있으신 분', '머신러닝 및 딥러닝을 활용한 서비스 및 프로젝트 경험을 보유하신 분']","['Pytorch', 'Tensorflow', 'Keras']",[],AI,https://www.wanted.co.kr/wd/311750
포비즈코리아,"경기 과천시 과천대로7길 33, 디테크타워 A동 701호",경력 3-5년,[기술전략실] Cloud Engineering Part,"['클라우드 인프라 아키텍팅', '자사 서비스 및 고객사 클라우드 인프라 전반에 걸친 관리', '개발파트와의 협업', '클라우드 인프라 계약 관리']","['3~5년 이상의 퍼블릭 클라우드 기반 아키텍쳐 설계 및 운영 경험이 있으신 분', '리눅스(CentOS, Rocky, Ubuntu 등)기반의 OS 환경 운영 경험이 있으신 분', 'Apache/Nginx, Php, Tomcat 기반의 WEB,WAS 미들웨어 운영경험이 있으신 분', '부서간, 고객사와의 소통을 위한 원활한 커뮤니케이션 능력을 지니신 분']","['bash, python 등으로 업무 자동화 경험이 많으신 분', '네이버 클라우드 사용 경험이 있으신 분', '이커머스에 대한 전반적인 도메인 지식이 있으신 분']","['PHP', 'Nginx', 'Apache HTTP']",[],백엔드,https://www.wanted.co.kr/wd/311773
김캐디,"서울 서초구 강남대로27길 7-9, 4층",경력 1년 이상,AI Coaching Developer  (LLM · Multi-modal),"['LLM 및 멀티모달 모델을 활용한 코칭/추천 기능 설계 및 개발', 'Foundation Model·최신 연구 성과를 제품 수준 기능으로 구현', '모델 선택, 파인튜닝, 서빙·모니터링까지 E2E 사이클 전담', 'Microservice 기반 AI 서비스 아키텍처 설계 및 파이프라인 구축', '데이터셋 구축, 레이블링, 모델 평가 시스템 자동화']","['백엔드 개발 1년 이상 경험', 'OpenAI, Anthropic, Gemini 등 LLM API 활용 프로젝트 경험']","['모델 개발부터 서비스 운영까지 직접 해보고 싶은 분', 'ML 기반 서비스를 운영·배포까지 경험해본 분', 'Prompt engineering, RAG, LangChain, CoT 경험자', 'Docker, Kubernetes 등 인프라 경험 보유자', 'Kotlin(Spring Boot) 백엔드 경험자', '스포츠/골프 도메인 지식 있는 분']",[],"['LangChain', 'SpringBoot', 'Kotlin', 'Kubernetes', 'Docker']",AI,https://www.wanted.co.kr/wd/311774
아이씨티케이,"서울 강남대로84길 16, 제이스타워 14F",경력 2-15년,보안 솔루션 서버 개발,"['python 서버 개발', 'java 서버 개발', '서버 기능 추가, 장애 분석, 운영, DB 관리 등', 'windows C# 프로그램 개발']","['python 서버 개발 경험', 'java 서버 개발 경험', '서버 기능 추가, 장애 분석, 운영, DB 관리 등', 'windows C# 프로그램 사용 경험']","['암호, 보안 관련 지식', 'embedded sw 개발 지식']","['C#', 'Java']",[],백엔드,https://www.wanted.co.kr/wd/311775
팀스카이(TeamSky),"경기 안양시 동안구 흥안대로427번길 47, 625호",계약직,프론트엔드 앱 개발자(React Native),"['팀스카이의 웹,앱 서비스에 필요한 프론트엔드 개발 업무', '앱 빌드 및 배포 업무 수행 (APK 패키징, TestFlight 활용 등)', '항공 플랫폼의 자격 시험 iPad 전용 앱을 React Native로 개발', 'Apple Pencil 입력을 지원하는 서드파티 라이브러리를 활용해 자격시험용 필기 기능 구현', '항공직군을 위한 취업준비 커뮤니티 서비스의 유지보수 및 기능 고도화 작업']","['React Native 개발 및 배포 경험이 있는 분', '최소한 하나의 앱 서비스 개발 출시 및 운영 경험이 있는 분', 'HTML/CSS/Javascript를 능숙하게 사용할 수 있는 분', 'TypeScript에 익숙하신 분']","['추석 연휴 끝나고 바로 출근이 가능하신 분', 'PRD를 기반으로 한 바이브 코딩에 익숙하신 분(cursor, windsurf, mcp 등)', '포트폴리오에 AI 활용 프로세스를 적어주신 분', '개인 Github 또는 개인 프로젝트로 역량을 구체적으로 제시할 수 있는 분', '문제를 주도적으로 해결하고 지속적인 학습 능력이 있으신 분', '더 좋은 고객 경험을 위해 의견을 적극적으로 내시는 분', '웹 성능 최적화 및 브라우저의 동작 원리에 관심이 많은 분', '크로스 플랫폼에 관심이 많은 분']","['HTML', 'CSS', 'Javascript', 'React Native', 'Typescript']",['Github'],프론트엔드,https://www.wanted.co.kr/wd/311778
한글과컴퓨터,"경기도 성남시 분당구 대왕판교로644번길 49 (삼평동,한컴타워)",신입 이상,오피스 제품 개발 (신입가능),"['스프레드시트, 프레젠테이션 제품의 엔진, 비지니스로직, UI 개발 및 유지보수', '다양한 플랫폼(Windows, Android, Linux) 제품 개발']","['C, C++ 프로그래밍 가능하신 분', '객체 지향 프로그래밍에 대한 이해도가 있으신 분', 'MVC, MVVM 모델 구조 설계를 경험하신 분', '새로운 기술에 대한 적극적인 수용 능력이 있으신 분', '다양한 팀원들과 협력하여 프로젝트를 진행할 수 있는 커뮤니케이션 및 협업 능력이 있으신 분', '10월 중순 입사 가능자']","['C# 프로그래밍 가능하신 분', 'Win32, MFC, WPF 프로그래밍 경험이 있으신 분', 'Window, Linux, Android, iOS 어플리케이션을 C++을 활용하여 개발하고 제품 출시를 경험하신 분', '오픈소스 프로젝트/커뮤니티에 참여한 경험이 있거나, 기여한 경험이 있으신 분']","['C++', 'C']",['C#'],백엔드,https://www.wanted.co.kr/wd/311784
코웨이,서울특별시 구로구 디지털로 26길 38,경력 3-10년,IoT 소프트웨어 개발자,"['임베디드 GUI 프레임워크 사용 개발 경력', 'C/C++ 기반 임베디드 소프트웨어 개발 중급 이상', 'FreeRTOS, Linux 시스템 및 어플리케이션 개발 경력', '해외 출장 결격 사유가 없는 분', '새로운 기술 습득이나 선행적인 프로젝트를 선호하시는 도전적인 분']","['임베디드 GUI 프레임워크 사용 개발 경력', 'C/C++ 기반 임베디드 소프트웨어 개발 중급 이상', 'FreeRTOS, Linux 시스템 및 어플리케이션 개발 경력', '해외 출장 결격 사유가 없는 분', '새로운 기술 습득이나 선행적인 프로젝트를 선호하시는 도전적인 분']","['C/C++ 기반 사용자 서비스 어플리케이션 개발 경험', '임베디드 GUI 솔루션(QT, LVGL 등) 개발 경험', 'IoT 제품 개발 및 양산 프로세스 지원 경험', '영어 회화 가능', 'Cursor AI 프로그램 사용 경험', 'Git, Jira 등 협업툴 사용 경험']","['FreeRTOS', 'C++', 'C']","['Git', 'Jira']",임베디드 개발자,https://www.wanted.co.kr/wd/311785
모드하우스,서울특별시 강남구 도산대로532,경력 2-8년,Backend Engineer,"['프로덕트 팀과의 협업을 통해 Cosmo앱의 백엔드 서비스를 개발하고 운영합니다.', 'EKS, SQS, Aurora, Cloudflare 등의 인프라 위에서 Cosmo 앱에 필요한 API를 개발합니다.', '모니터링/로깅/알람 등을 통해 지속적인 시스템 개선을 합니다.', 'EVM 기반의 NFT 및 투표 컨트랙트를 개발하고 운영합니다.']","['2년 이상의 백엔드 개발 경험이 있으신 분', 'RDBMS(MySQL, Postgresql 등) 경험이 있으신 분', 'Typescript (혹은 ES6)를 사용하는 데 익숙하신 분', '새로운 기술을 빠르게 학습하고 변화에 유연하게 대처하는 능력이 있으신 분', '해외 파트너사들과의 영어 업무 소통에 거부감이 없으신 분']","['7년 이상의 백엔드 개발 경험', '라이브 스트리밍에 대한 개발 경험', '타입 시스템, 정적 분석 등의 경험이 있으신 분', 'Ethereum 계열의 블록체인 개발 경험 및 데이터 취합/가공 경험이 있으신 분', 'Blockchain Platform, Wallet, Trading 상품에 대한 이해가 있으신 분', 'EVM에 대한 높은 개발 이해가 있으신 분', '비즈니스 회화 이상의 영어 사용이 가능하신 분', 'Container Orchestration (EKS, ECS, GKE 등) 서비스 상에서 서비스 운영 경험이 있으신 분', 'K-POP 엔터테인먼트 분야를 좋아하고 열정이 있으신 분']","['PostgreSQL', 'MySQL', 'Typescript']","['NodeJS', 'Jira', 'Github']",백엔드,https://www.wanted.co.kr/wd/311807
